episode,total_reward,emergency_rejections,icu_utilisation
264,136.0,2,0.76
265,172.0,1,0.86
266,88.0,3,0.94
267,175.0,0,0.94
268,115.0,0,0.74
269,118.0,0,0.92
270,151.0,0,0.82
271,109.0,1,0.9
272,193.0,0,0.76
273,184.0,0,0.72
274,85.0,3,0.98
275,151.0,0,0.78
276,130.0,1,0.88
277,127.0,1,0.68
278,109.0,1,1.0
279,97.0,0,0.96
280,94.0,2,0.88
281,175.0,0,0.96
282,82.0,2,0.74
283,181.0,0,0.74
284,151.0,1,0.82
285,139.0,3,0.66
286,148.0,0,0.88
287,187.0,0,0.7
288,103.0,0,0.92
289,106.0,1,0.96
290,142.0,1,0.94
291,145.0,0,0.94
292,82.0,2,0.74
293,121.0,0,0.72
294,85.0,4,0.88
295,94.0,4,0.98
296,136.0,1,0.82
297,136.0,0,0.88
298,160.0,0,0.88
299,118.0,0,0.82
300,148.0,0,0.88
301,115.0,1,0.68
302,154.0,1,0.96
303,85.0,2,0.98
304,115.0,1,0.88
305,94.0,1,0.86
306,73.0,1,0.86
307,133.0,0,0.9
308,88.0,1,0.86
309,130.0,1,0.9
310,148.0,1,0.72
311,112.0,0,0.8
312,169.0,0,0.58
313,151.0,0,0.78
314,148.0,0,0.74
315,169.0,0,0.56
316,124.0,0,0.88
317,145.0,0,0.96
318,139.0,1,0.96
319,154.0,1,0.7
320,139.0,0,0.74
321,172.0,1,0.86
322,151.0,0,0.84
323,133.0,0,0.66
324,94.0,3,0.78
325,148.0,1,0.76
326,91.0,2,0.8
327,127.0,0,0.9
328,100.0,1,0.66
329,127.0,1,0.96
330,151.0,0,0.78
331,127.0,2,0.58
332,121.0,0,0.74
333,160.0,0,0.72
334,112.0,0,0.9
335,127.0,0,0.82
336,124.0,0,0.8
337,136.0,1,0.82
338,58.0,1,0.86
339,139.0,0,0.8
340,145.0,0,0.82
341,154.0,1,0.72
342,115.0,1,0.68
343,145.0,1,0.74
344,145.0,1,0.9
345,184.0,0,0.88
346,181.0,0,0.96
347,184.0,0,0.72
348,142.0,0,0.9
349,112.0,0,0.94
350,172.0,0,0.88
351,142.0,0,0.68
352,136.0,0,0.92
353,136.0,0,0.9
354,181.0,0,0.76
355,106.0,1,1.0
356,97.0,2,0.92
357,124.0,1,0.84
358,85.0,2,0.8
359,139.0,0,0.8
360,154.0,0,0.9
361,88.0,2,0.92
362,130.0,2,0.84
363,100.0,1,0.96
364,124.0,0,0.78
365,169.0,1,0.68
366,181.0,0,0.76
367,88.0,2,0.92
368,187.0,0,0.86
369,103.0,3,0.92
370,127.0,0,0.78
371,124.0,1,1.0
