episode,total_reward,emergency_rejections,icu_utilisation
244,-20.0,3,0.74
245,-77.0,4,0.9
246,-105.0,3,0.54
247,-86.0,5,0.76
248,-63.0,5,0.78
249,-114.0,2,0.66
250,-127.0,4,0.78
251,-59.0,5,0.64
252,-63.0,4,0.6
253,-37.0,4,0.44
254,-82.0,7,0.72
255,-80.0,5,0.82
256,-80.0,2,0.66
257,-110.0,4,0.68
258,-45.0,4,0.48
259,-13.0,3,0.62
260,-126.0,4,0.72
261,-190.0,9,0.76
262,-60.0,6,0.42
263,-39.0,2,0.78
264,-132.0,7,0.82
265,-34.0,3,0.58
266,-70.0,8,0.76
267,-42.0,2,0.42
268,-146.0,6,0.72
269,-90.0,6,0.78
270,-10.0,1,0.72
271,-120.0,2,0.7
272,-12.0,3,0.56
273,7.0,3,0.42
274,-160.0,8,0.74
275,-62.0,8,0.56
276,-80.0,6,0.58
277,-89.0,7,0.72
278,-109.0,3,0.9
279,-54.0,4,0.9
280,-121.0,8,0.52
281,-135.0,8,0.96
282,-144.0,6,0.72
283,-74.0,5,0.34
284,-59.0,3,0.54
285,-53.0,6,0.46
286,-49.0,3,0.72
287,-16.0,3,0.56
288,-102.0,4,0.6
289,-50.0,5,0.56
290,16.0,2,0.7
291,-101.0,9,0.68
292,-93.0,6,0.72
293,-122.0,6,0.56
294,-120.0,6,0.78
295,-103.0,5,0.84
296,-87.0,4,0.58
297,-105.0,7,0.58
298,-77.0,5,0.62
299,-102.0,3,0.72
300,-111.0,2,0.22
301,-74.0,3,0.78
302,-112.0,7,0.84
303,-15.0,5,0.9
304,-125.0,6,0.64
305,-117.0,7,0.48
306,-175.0,13,0.74
307,-62.0,5,0.66
308,-140.0,8,0.84
309,-75.0,6,0.58
310,-99.0,5,0.56
311,-64.0,6,0.8
312,-19.0,3,0.48
313,-75.0,2,0.64
314,-76.0,4,0.54
315,-114.0,4,0.66
316,-56.0,4,0.58
317,-144.0,6,0.98
318,-76.0,4,0.72
319,-57.0,5,0.5
320,-39.0,4,0.62
321,-82.0,6,0.36
322,-56.0,7,0.42
323,-53.0,1,0.68
324,-112.0,8,0.74
325,-109.0,7,0.48
326,-113.0,5,0.5
327,-88.0,4,0.78
328,-39.0,4,0.46
329,-57.0,5,0.94
330,-73.0,4,0.4
331,-102.0,6,0.54
332,-60.0,2,0.78
333,-16.0,1,0.62
334,-101.0,3,0.62
335,-99.0,2,0.74
336,-88.0,6,0.72
337,-157.0,5,0.6
338,-101.0,4,0.9
339,-17.0,3,0.52
340,-104.0,3,0.6
341,-39.0,3,0.6
342,-56.0,4,0.42
343,-20.0,2,0.82
344,-72.0,6,0.64
345,-15.0,1,0.9
346,-47.0,5,0.68
347,-47.0,2,0.56
348,-74.0,5,0.82
349,-104.0,9,0.74
350,-93.0,5,0.76
351,-97.0,8,0.68
352,-79.0,4,0.44
353,-55.0,3,0.88
354,-106.0,6,0.6
355,-125.0,5,0.84
356,-65.0,7,0.8
357,-84.0,4,0.58
358,-136.0,7,0.72
359,-145.0,9,0.68
360,-47.0,4,0.62
361,-169.0,4,0.78
362,-42.0,5,0.78
363,-56.0,6,1.0
364,-12.0,2,0.7
365,-62.0,7,0.74
366,-82.0,5,0.82
367,-85.0,6,0.84
368,-100.0,9,0.78
369,-124.0,12,0.78
370,-101.0,6,0.6
371,-103.0,5,0.96
372,-12.0,3,0.74
373,-59.0,3,0.86
374,-23.0,4,0.76
375,-43.0,1,0.56
376,-80.0,8,0.42
377,-23.0,4,0.6
378,-111.0,2,0.7
379,-77.0,5,0.44
380,-167.0,9,0.84
381,-92.0,3,0.92
382,-37.0,3,0.72
383,-91.0,3,0.9
384,-72.0,5,0.44
385,-138.0,10,0.74
386,-75.0,5,0.72
387,-85.0,3,0.78
388,-68.0,4,0.56
389,-57.0,6,0.64
390,-78.0,4,0.46
391,-101.0,3,0.74
392,-97.0,7,0.74
393,-87.0,5,0.76
394,-137.0,5,0.8
395,-47.0,6,0.64
396,6.0,5,0.58
397,-110.0,4,0.82
398,-25.0,3,0.62
399,-19.0,4,0.62
400,-146.0,5,0.84
401,-58.0,3,0.66
402,-30.0,4,0.68
403,-59.0,4,0.66
404,-128.0,5,0.86
405,-185.0,8,0.86
406,-100.0,5,0.6
407,-48.0,5,0.64
408,-51.0,4,0.78
409,-50.0,6,0.36
410,-106.0,7,0.72
411,-128.0,7,0.62
412,-128.0,3,0.46
413,-68.0,4,0.88
414,-101.0,8,0.84
415,-91.0,5,0.4
416,-9.0,2,0.66
417,-92.0,7,0.86
